3b - Labour force participation rate for persons aged 15+  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2011,Male,72.24,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2011,Both sexes,67.39,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2012,Female,63.23,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2012,Male,65.67,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2012,Both sexes,64.36,-,-,Country data,National,0,0,0,0,0,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2013,Female,58.9,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2013,Male,72.1,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2013,Both sexes,65.3,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2014,Female,54.84,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2014,Male,71.03,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2014,Both sexes,62.61,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2015,Female,55.94,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2015,Male,71.18,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2015,Both sexes,63.14,-,-,Country data,National,0,0,0,0,0,-,Data reference period: November | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1999,Female,37.65,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1999,Male,77.47,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1999,Both sexes,57.31,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2003,Female,35.56,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2003,Male,76.78,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2003,Both sexes,55.63,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2008,Female,34.32,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2008,Male,67.93,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2008,Both sexes,50.19,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2000,Female,36.49,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2000,Male,75.68,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2000,Both sexes,55.57,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2005,Female,34.55,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2005,Male,75.82,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2005,Both sexes,54.26,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2007,Female,33.36,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2007,Male,67.78,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2007,Both sexes,49.77,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2009,Female,35.2,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2009,Male,71.64,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2009,Both sexes,52.29,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2010,Female,22.81,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2010,Male,75.03,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2010,Both sexes,53.38,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1996,Female,35.47,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1996,Male,75.59,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1996,Both sexes,55.4,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1998,Female,41.39,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1998,Male,76.81,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1998,Both sexes,58.82,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2001,Female,31.9,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2001,Male,66.2,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2001,Both sexes,48.8,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2004,Female,34.73,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2004,Male,74.84,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2004,Both sexes,53.98,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2006,Female,35.49,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2006,Male,68.15,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2006,Both sexes,51.11,-,-,Country data,National,Age coverage - minimum age: 10 years old,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1995,Female,35.79,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1995,Male,74.81,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1995,Both sexes,54.88,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2011,Female,34.36,-,-,Country data,National,Break in series: Sample redesigned,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2011,Male,74.05,-,-,Country data,National,Break in series: Sample redesigned,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2011,Both sexes,52.99,-,-,Country data,National,Break in series: Sample redesigned,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1997,Female,35.31,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1997,Male,75.7,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,1997,Both sexes,55.24,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2002,Female,33.6,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2002,Male,67.9,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2002,Both sexes,50.3,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2012,Female,32.95,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2012,Male,74.98,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2012,Both sexes,52.57,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2013,Female,35.57,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2013,Male,74.93,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2013,Both sexes,53.8,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average | Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2014,Female,34.74,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2014,Male,74.35,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2014,Both sexes,53.14,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2015,Female,35.98,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2015,Male,74.71,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2015,Both sexes,53.82,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2016,Female,35.87,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2016,Male,75.07,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2016,Both sexes,53.8,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,144,Sri Lanka,2017,Both sexes,54.07,-,-,Country data,National,0,0,0,0,0,-,Geographical coverage: Total national  excluding some areas
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2000,Female,30.69,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2000,Male,82.81,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2000,Both sexes,57.2,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2005,Female,37.3,-,-,Country data,National,0,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2005,Male,82.9,-,-,Country data,National,0,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2005,Both sexes,60.4,-,-,Country data,National,0,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2010,Female,28.96,-,-,Country data,National,0,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2010,Male,79.74,-,-,Country data,National,0,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2010,Both sexes,54.82,-,-,Country data,National,0,0,0,0,0,-,0
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2001,Female,37.71,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2001,Male,78.45,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2001,Both sexes,58.7,-,-,Country data,National,0,0,0,0,0,-,Data reference period: Annual or annual average
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2012,Female,23.35,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
Labour force participation rate for persons aged 15+  by sex,Southern Asia,356,India,2012,Male,79.07,-,-,Country data,National,Repository: ILO-STATISTICS - Micro data processing,0,0,0,0,-,Data reference period: Noncalendar year
