survey,item,variable,values,question_text,response_categories
nsss1993,familywork5a,famsuff3,c(1:5),"All in all, family life suffers when the woman has a full-time job.",1 Strongly agree / 5 Strongly disagree
nsss1993,familywork5a,famsuf3x,c(1:5),"All in all, family life suffers when the woman has a full-time job",1 Strongly agree / 5 Strongly disagree
usgss,familywork5a,famsuffr,c(1:5),"All in all, family life suffers when the woman has a full-time job.",1 Strongly Agree / 5 Strongly Disagree
issp1994,familywork5b,v14,c(5:1),Family life often suffers because men concentrate too much on their work.,1 Strongly agree / 5 Strongly disagree
nsss1989,familywork5b,famhapwk,c(5:1),Family life often suffers because men concentrate too much on their work.,1 Strongly agree / 5 Strongly disagree
usgss,familywork5b,,c(5:1),Family life often suffers because men concentrate too much on their work.,1 Strongly Agree / 5 Strongly Disagree
evs_combo,fatherchild4,d064,c(4:1),"In general, fathers are as well suited to look after their children as mothers",1 agree strongly / 4 disagree strongly
usgss,godchild4,fekids5,c(1:4),It is God's will that women care for children. How important do you think this reason is for explaining why women are more likely to take care of children ,1 Very important / 4 Not at all important
wvs_combo,goodmother5,d068,c(1:5),"In your opinion, how important are each of the following traits in a woman? Being a good mother",1 Very important / 5 No important at all
wvs4_swe,goodmother5,iv82,c(1:5),"In your opinion, how important are each of the following traits in a woman? Being a good mother",1 Very important / 5 No important at all
wvs_combo,goodwife5,d069,c(1:5),"In your opinion, how important are each of the following traits in a woman?. Being a good wife",1 Very important / 5 No important at all
wvs4_swe,goodwife5,iv83,c(1:5),"In your opinion, how important are each of the following traits in a woman?. Being a good wife",1 Very important / 5 No important at all
aes1993,govtact5,e6opp,c(5:1),The government should increase opportunities for women in business and industry,1 Agree strongly / 5 disagree strongly
aes1996,govtact5,e5opp,c(5:1),The government should increase opportunities for women in business and industry,1 Agree strongly / 5 disagree strongly
aes1998,govtact5,e6opp,c(5:1),The government should increase opportunities for women in business and industry,1 Agree strongly / 5 disagree strongly
aes2001,govtact5,e4opp,c(5:1),The government should increase opportunities for women in business and industry,1 Agree strongly / 5 disagree strongly
aes2004,govtact5,e4opp,c(5:1),The government should increase opportunities for women in business and industry,1 Agree strongly / 5 disagree strongly
aes2010,govtact5,e4opp,c(5:1),The government should increase opportunities for women in business and industry,1 Agree strongly / 5 disagree strongly
wvs_combo,havingwork5,d073,c(5:1),"In your opinion, how important are each of the following traits in a woman?  Woman having work outside home.",1 Very important / 5 Not very important
wvs4_swe,havingwork5,iv89,c(5:1),"In your opinion, how important are each of the following traits in a woman?  Woman having work outside home.",1 Very important / 5 Not very important
allbus,help4,fr02,c(1:4),It's more important for a wife to help her husband with his career than to pursue her own career.,1 Strongly Agree / 4 Strongly Disagree
jgss,help4,q4wwhphh,c(1:4),"For a wife, helping her husband's work is more important than having her own",1 Strongly Agree / 4 Strongly Disagree
jgss2005,help4,q4wwhphh,c(1:4),"For a wife, helping her husband's work is more important than having her own",1 Strongly Agree / 4 Strongly Disagree
jgss2006,help4,q4wwhphh,c(1:4),"For a wife, helping her husband's work is more important than having her own",1 Strongly Agree / 4 Strongly Disagree
jgss2008,help4,q4wwhphh,c(1:4),"For a wife, helping her husband's work is more important than having her own",1 Strongly Agree / 4 Strongly Disagree
jgss2010,help4,q4wwhphh,c(1:4),"For a wife, helping her husband's work is more important than having her own",1 Strongly Agree / 4 Strongly Disagree
jgss2012,help4,q4wwhphh,c(1:4),"For a wife, helping her husband's work is more important than having her own",1 Strongly Agree / 4 Strongly Disagree
usgss,help4,fehelp,c(1:4),It is more important for a wife to help her husband's career than to have one herself ,1 Strongly Agree / 4 Strongly Disagree
kgss,help7,sexrole1,c(1:7),It is more important for a wife to help her husband's career than to pursue her own career,1 Strongly Agree / 7 Strongly Disagree
arabb1,hijab4,q5046,c(4:1),"In Islam a woman should dress modestly, but Islam does not require that she wear a hijab.",1 Strongly Agree / 4 Strongly Disagree
arabb2,hijab4,q6076,c(4:1),Women should wear modest clothes without needing to wear hijab.,1 Strongly Agree / 4 Strongly Disagree
arabb3,hijab4,q6076,c(4:1),Women should wear modest clothes without needing to wear a hijab.,1 Strongly Agree / 4 Strongly Disagree
arabb4,hijab4,q6076,c(4:1),"A woman should dress modestly, but Islam does not require that she wear a hijab",1 Strongly Agree / 4 Strongly Disagree
usgss,homecountry2,fehome,c(1:2),Do you agree or disagree with this statement? Women should take care of running their homes and leave running the country up to men.,1 Agree / 2 Disagree
issp2002,house5a,v12,c(5:1),Men ought to do a larger share of household work than they do now.,1 Strongly agree / 5 Strongly disagree
cdcee,household4,v232,c(1:4),The best thing for a woman to do is to take care of the house,1 Agree completely / 4 Disagree completely
evs_combo,housewifefull4,d057,c(1:4),Being a housewife is just as fulfilling as working for pay,1 agree strongly / 4 disagree strongly
kgss,housewifefull4,housewrk,c(1:5),Being a housewife is just as fulfilling as working for pay,1 Strongly Agree / 5 Strongly Disagree
wvs_combo,housewifefull4,d057,c(1:4),Being a housewife is just as fulfilling as working for pay,1 Agree strongly / 4 Strongly disagree
wvs4_swe,housewifefull4,v116,c(1:4),Being a housewife is just as fulfilling as working for pay,1 Agree strongly / 4 Strongly disagree
wvs7,housewifefull4,q32,c(1:4),Being a housewife is just as fulfilling as working for pay,1 Agree strongly / 4 Strongly disagree
issp1988,housewifefull5,v9,c(1:5),Being a housewife is just as fulfilling as working for pay,1 Strongly agree / 5 Strongly disagree
issp1994,housewifefull5,v8,c(1:5),Being a housewife is just as fulfilling as working for pay,1 Strongly agree / 5 Strongly disagree
issp2002,housewifefull5,v8,c(1:5),Being a housewife is just as fulfilling as working for pay,1 Strongly agree / 5 Strongly disagree
nsss1989,housewifefull5,wffulfil,c(1:5),Being a housewife is just as fulfilling as working for pay,1 Strongly Agree / 5 Strongly Disagree
tcmeg2004,housewifefull5,m710k,c(1:5),Being a housewife is just as fulfilling as working for pay,1 Strongly Agree / 5 Strongly Disagree
eb653,income4,v649,c(4:1),Both men and women should contribute to the household income ,1 Totally agree/ 4 Totally disagree
evs_combo,income4,d058,c(4:1),Both the husband and wife should contribute to household income,1 Strongly Agree / 5 Strongly Disagree
issp2012,income4,es_v10,c(4:1),Both the man and woman should contribute to the household income ,1 Strongly Agree / 4 Strongly Disagree
wvs_combo,income4,d058,c(4:1),Both the husband and wife should contribute to household income,1 Strongly Agree / 5 Strongly Disagree
wvs4_swe,income4,v117,c(4:1),Both the husband and wife should contribute to household income,1 Strongly Agree / 5 Strongly Disagree
issp1988,income5,v11,c(5:1),Both the husband and wife should contribute to household income,1 Strongly Agree / 5 Strongly Disagree
issp1994,income5,v11,c(5:1),Both the husband and wife should contribute to household income,1 Strongly Agree / 5 Strongly Disagree
issp2002,income5,v10,c(5:1),Both the husband and wife should contribute to household income,1 Strongly Agree / 5 Strongly Disagree
issp2012,income5,v10,c(5:1),Both the man and woman should contribute to the household income ,1 Strongly agree / 5 Strongly disagree
kgss,income5,twoincs,c(5:1),Both man and woman should contribute to the household income,1 Strongly Agree / 5 Strongly Disagree
nsss1989,income5,hsbwfwk,c(5:1),Both the husband and wife should contribute to the household income,1 Strongly Agree / 5 Strongly Disagree
tcmeg2004,income5,m710l,c(5:1),Both the husband and wife should contribute to household income,1 Strongly Agree / 5 Strongly Disagree
wvs_combo,independence5,d072,c(5:1),"In your opinion, how important are each of the following traits in a woman?  Woman being independent.",1 Very important / 5 Not very important
wvs4_swe,independence5,iv88,c(5:1),"In your opinion, how important are each of the following traits in a woman?  Woman being independent.",1 Very important / 5 Not very important
arabb2,inheritance4,q60109,c(4:1),Women's share of inheritance should be equal to that of men.,1 Strongly Agree / 4 Strongly Disagree
arabb4,inheritance4,q6014,c(4:1),Women and men should have equal rights to their inheritance (Women should not be denied their right).,1 Strongly Agree / 4 Strongly Disagree
arabb1,islamclass4,q5044,c(4:1),It is acceptable in Islam for male and female university students to attend classes together,1 Strongly Agree / 4 Strongly Disagree
arabb4,islamclass4,q6074,c(4:1),It is acceptable in Islam for male and female university students to attend classes together,1 Strongly Agree / 4 Strongly Disagree
evs_combo,job3a,c001,"c(1,3,2)","When jobs are scarce, men should have more right to a job than women",1 Agree / 2 Disagree / 3 Neither
wvs_combo,job3a,c001,"c(1,3,2)","When jobs are scarce, men should have more right to a job than women",1 Agree / 2 Disagree / 3 Neither
wvs4_swe,job3a,v78,"c(1,3,2)","When jobs are scarce, men should have more right to a job than women",1 Agree / 2 Neither / 3 Disagree
jgss2006,job4,q7wwloff,c(1:4),"When the economy is bad, women should be fired before men","1 Agree / 2 If anything, I agree / 3 If anything, I disagree / 4 Disagree"
pew2010,job4,q69c,c(1:4),"When jobs are scarce, men should have more right to a job than women.",1 Completely Agree / 4 Completely Disagree
pew2012,job4,q86b,c(1:4),"When jobs are scarce, men should have more right to a job than women.",1 Completely Agree / 4 Completely Disagree
pewrel2006_10nat,job4,q27a,c(1:4),"When jobs are scarce, men should have more right to a job than women",1 Completely Agree / 4 Completely Disagree
pewrel2009_afr,job4,q11d,c(1:4),"When jobs are scarce, men should have more right to a job than women",1 Completely Agree / 4 Completely Disagree
pewrel2014_latam,job4,q19d,c(1:4),"When jobs are scarce, men should have more right to a job than women",1 Completely Agree / 4 Completely Disagree
pewrel2015_ee,job4,q16c,c(1:4),"When jobs are scarce, men should have more right to a job than women",1 Completely Agree / 4 Completely Disagree
allbus,job4a,fr06,c(1:4),A married woman should not work if there are not enough jobs to go around and her husband is also in a position to support the family.,1 Completely Agree / 4 Completely Disagree
ess2,job5,mnrgtjb,c(1:5),Men should have more right to job than women when jobs are scarce,1 Agree Strongly / 5 Disagree Strongly
ess4,job5,mnrgtjb,c(1:5),Men should have more right to job than women when jobs are scarce,1 Agree Strongly / 5 Disagree Strongly
ess5,job5,mnrgtjb,c(1:5),Men should have more right to job than women when jobs are scarce,1 Agree Strongly / 5 Disagree Strongly
ess8,job5,mnrgtjb,c(1:5),Men should have more right to job than women when jobs are scarce,1 Agree Strongly / 5 Disagree Strongly
evs2017,job5,v81,c(1:5),"When jobs are scarce, men should have more right to a job than women",1 Strongly Agree / 5 Strongly Disagree
wvs7,job5,q33,c(1:5),"When jobs are scarce, men should have more right to a job than women",1 Strongly Agree / 5 Strongly Disagree
evs_combo,jobinde4,d063,c(4:1),Having a job is the best way for a woman to be an independent person,1 agree strongly / 4 disagree strongly
jgss,jobinde4,q4wnjb2l,c(4:1),Having a job is the best way for a woman to be an independent person.,1 Agree / 4 Disagree
wvs_combo,jobinde4,d063,c(4:1),Having a job is the best way for a woman to be an independent person,1 Agree strongly / 4 Strongly disagree
eb722,jobinde4a,v233,c(4:1),It is indispensable for a woman to have her own pay ,1 Totally agree/ 4 Totally disagree
issp1988,jobinde5,v10,c(5:1),Having a job is the best way for a woman to be an independent person,1 Strongly agree / 5 Strongly disagree
issp1994,jobinde5,v9,c(5:1),Having a job is the best way for a woman to be an independent person,1 Strongly agree / 5 Strongly disagree
issp2002,jobinde5,v9,c(5:1),Having a job is the best way for a woman to be an independent person,1 Strongly agree / 5 Strongly disagree
kgss,jobinde5,fejobind,c(5:1),Having a job is a best way for a woman to be independent,1 Strongly Agree / 5 Strongly Disagree
nsss1989,jobinde5,wwkindep,c(5:1),Having a job is the best way for a woman to be an independent person,1 Strongly Agree / 5 Strongly Disagree
usgss,jobinde5,fejobind,c(5:1),Having a job is the best way for a woman to be an independent person.,1 Strongly Agree / 5 Strongly Disagree
aes1993,jobpref5,e6pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,1 Strongly Agree / 5 Strongly Disagree
aes1996,jobpref5,e5pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,1 Strongly Agree / 5 Strongly Disagree
aes1998,jobpref5,e6pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,1 Strongly Agree / 5 Strongly Disagree
aes2001,jobpref5,e4pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,1 Strongly Agree / 5 Strongly Disagree
aes2004,jobpref5,e4pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,1 Strongly Agree / 5 Strongly Disagree
aes2010,jobpref5,e4pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,1 Strongly Agree / 5 Strongly Disagree
nsss_combo,jobpref5,affactw2,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,1 Strongly Agree / 5 Strongly Disagree
amb_combo,jobs7,gen1,c(7:1),"Changing the subject again, some say that when there is not enough work, men should have a greater right to jobs than women.",1 Strongly Agree / 7 Strongly Disagree
amb_us2012,jobs7,gen1,c(7:1),"Changing the subject again, some say that when there is not enough work, men should have a greater right to jobs than women.",1 Strongly Agree / 7 Strongly Disagree
evs_combo,manchildren5,d020,c(1:5),A man has to have children in order to be fulfilled,1 Agree strongly / 5 disagree strongly
jgss,marrihap4,q4wnmga,c(1:4),"After all, women's happiness lies in marriage",1 Agree strongly / 4 Strongly disagree
jgss2005,marrihap4,q4wnmga,c(1:4),"After all, women's happiness lies in marriage",1 Agree strongly / 4 Strongly disagree
jgss2006,marrihap4,q4wnmga,c(1:4),"After all, women's happiness lies in marriage",1 Agree strongly / 4 Strongly disagree
jgss2008,marrihap4,q4wnmga,c(1:4),"After all, women's happiness lies in marriage",1 Agree strongly / 4 Strongly disagree
jgss2010,marrihap4,q4wnmga,c(1:4),"After all, women's happiness lies in marriage",1 Agree strongly / 4 Strongly disagree
jgss2012,marrihap4,q4wnmga,c(1:4),"After all, women's happiness lies in marriage",1 Agree strongly / 4 Strongly disagree
issp1994,maternity5,v42,c(5:1),Working women should receive paid maternity leave when they have a baby,1 Strongly agree / 5 Strongly disagree
issp2002,maternity5,v27,c(5:1),Working women should receive paid maternity leave when they have a baby,1 Strongly agree / 5 Strongly disagree
lb2004,moneyprob4,p57n_c,c(1:4),"If the woman earns more than the man, she will almost certainly have problems",1 Agree strongly / 4 Strongly disagree
lb2009,moneyprob4,p67st_e,c(1:4),"If the woman earns more than the man, she will almost certainly have problems",1 Agree strongly / 4 Strongly disagree
wvs_combo,moneyprob4,d066,c(1:4),"If a woman earns more money than her husband, it's almost certain to cause problems.",1 Agree strongly / 4 Strongly disagree
issp1994,msww5,v13,c(1:5),It is not good if the man stays at home and cares for the children and the woman goes out to work.,1 Strongly Agree / 5 Strongly Disagree
usgss,msww5,mrmom,c(1:5),It is not good if the man stays at home and cares for the children and the woman goes out to work.,1 Strongly Agree / 5 Strongly Disagree
pewrel2006_10nat,obey4,q27c,c(1:4),A wife must always obey her husband,1 Strongly Agree / 4 Strongly Disagree
wvs_combo,obey4,d077,c(1:4),A wife must always obey her husband,1 Strongly Agree / 4 Strongly Disagree
wvs4_swe,obey4,iv87,c(1:4),A wife must always obey her husband,1 Strongly Agree / 4 Strongly Disagree
lb2006,office2,p87n_5,c(1:0),Why there are not enough women in public charges: That is not their place,1 Mentioned/ 0 Not Mentioned
pew2007,poliequal3,q47,"c(1,3,2)",Which one of the following statements comes closest to your opinion about men and women as political leaders?,"1 Men generally make better political leaders than women / 2 Women generally make better political leaders than men / 3 In general, women and men make equally good political leaders."
pew2012,poliequal3,q101,"c(1,3,2)",Which one of the following statements comes closest to your opinion about men and women as political leaders?,"1 Men generally make better political leaders than women / 2 Women generally make better political leaders than men / 3 In general, women and men make equally good political leaders."
eb443,polileader3,v421,"c(1,3,2)","Here is a list of occupations and responsibilities that men or women can have. For each of them, please indicate whether you think that they should be more for men, more for women, or for either a man or a woman. Head of Government",1 More for men / 2 More for women / 3 For either a man or a woman
amb_brazil2016,polileader4,vb50,c(1:4),"Some say that in general, men are better political leaders than women.",1 Strongly Agree / 4 Strongly Disagree
amb_canada2012,polileader4,vb50,c(1:4),"Some say that in general, men are better political leaders than women.",1 Strongly Agree / 4 Strongly Disagree
amb_combo,polileader4,vb50,c(1:4),"Some say that in general, men are better political leaders than women.",1 Strongly Agree / 4 Strongly Disagree
amb_suriname2012,polileader4,vb50,c(1:4),"Some say that in general, men are better political leaders than women.",1 Strongly Agree / 4 Strongly Disagree
amb_trinidad2012,polileader4,vb50,c(1:4),"Some say that in general, men are better political leaders than women.",1 Strongly Agree / 4 Strongly Disagree
amb_us2012,polileader4,vb50,c(1:4),"Some say that in general, men are better political leaders than women.",1 Strongly Agree / 4 Strongly Disagree
arabb1,polileader4,q5053,c(1:4),"On the whole, men make better political leaders than women do",1 Strongly Agree / 4 Strongly Disagree
arabb2,polileader4,q60103,c(1:4),"In general, men are better at political leadership than women",1 Strongly Agree / 4 Strongly Disagree
arabb3,polileader4,q6013,c(1:4),"In general, men are better at political leadership than women.",1 Strongly Agree / 4 Strongly Disagree
eb631,polileader4,v324,c(1:4),"On the whole, men make better political leaders than women ",1 Strongly Agree / 4 Strongly Disagree
evs_combo,polileader4,d059,c(1:4),"On the whole, men make better political leaders than women do",1 Strongly Agree / 4 Strongly Disagree
evs2017,polileader4,v76,c(1:4),"On the whole, men make better political leaders than women do",1 Strongly Agree / 4 Strongly Disagree
lb2004,polileader4,p57wvs_b,c(1:4),Men are better political leaders than women,1 Strongly Agree / 4 Strongly Disagree
lb2009,polileader4,p67wvs_d,c(1:4),Men are better political leaders than women,1 Strongly Agree / 4 Strongly Disagree
pewrel2006_10nat,polileader4,q27b,c(1:4),"On the whole, men make better political leaders than women do",1 Strongly Agree / 4 Strongly Disagree
wvs_combo,polileader4,d059,c(1:4),"On the whole, men make better political leaders than women do",1 Strongly Agree / 4 Strongly Disagree
wvs4_swe,polileader4,v118,c(1:4),"On the whole, men make better political leaders than women do",1 Strongly Agree / 4 Strongly Disagree
wvs7,polileader4,q29,c(1:4),"On the whole, men make better political leaders than women do",1 Strongly Agree / 4 Strongly Disagree
tcmeg2004,polileader5,m710c,c(1:5),"On the whole, men make better political leaders than women do",1 Strongly Agree / 5 Strongly Disagree
amb_combo,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1 A man / 2 A woman / 3 Both are the same
