Survey,Variable,Question Text,Type of Q,Response Categories,Notes
WVS,d077,A wife must always obey her husband,Wife should obey,1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,d078,"On the whole, men make better business executives than women do.","Business, for men!",1 Agree strongly / 4 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,e069_15,"For each one, could you tell me how much confidence you have in them? The women's movement",Approval of women's movement,1 A great deal / 4 None at all,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,e108,"For each of the following movements, which I read out, can you tell me whether you approve or disapprove of this movement? Women's movement",Approval of women's movement,1 Strongly approve / 4 Strongly disappprove,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,e213,Do you agree or disagree that a married woman should not work outside the home unless forced to do so by economic circumstances?,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,e233,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Women have the same rights as men.,Women vs. men: the same rights,1 Not an essential characteristic of democracy / 2 An essential characteristic of democracy,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,f164,"Today as in the past, Muslim scholars and jurists sometimes disagree about the proper interpretation of Islam in response to present-day issues. For each of the statements listed below, would you please indicate whether you agree strongly, agree, disagree, or disagree strongly with the interpretation of Islam that is presented? Islam requires woman to dress modestly but does not require cover face with veil",Muslim vs. women,1 Strongly agree / 5 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,f165,It is a violation of Islam for male and female university students to attend classes together,Muslim vs. women,1 Strongly agree / 5 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,f166,"By requiring that a man treat all of his wives equally, the true intent of Islam is to prohibit a man from taking more than one wife",Muslim vs. women,1 Strongly agree / 5 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,f174,Islam requires that a country with a majority of Muslims be governed by men of Islamic learning,Muslim vs. women,1 Strongly agree / 5 Strongly disagree,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
WVS,f199,For a man to beat his wife,Domestic violence,1 Never justifiable / 10 Always justifiable,http://www.wvsevsdb.com/wvs/WVSIntegratedEVSWVSvariables.jsp?Idioma=I
EVS,a075,"Please look carefully at the following list of voluntary organisations and activities and say ... a) which, if any, do you belong to? Women's groups",Participation to women's group,0 Not mentioned / 1 Belong,http://zacat.gesis.org/webview/
EVS,a092,"Please look carefully at the following list of voluntary organisations and activities and say ... b) which, if any, are you currently doing unpaid voluntary work for? Women's groups",Participation to women's group,0 Not mentioned / 1 Belong,http://zacat.gesis.org/webview/
EVS,a124_40,On this list are various groups of people. Could you please sort out any that you would not like to have as neighbours? Unmarried mothers,Approval of single mom,0 Not mentioned / 1 Belong,http://zacat.gesis.org/webview/
EVS,c001,"When jobs are scarce, men have more right to a job than women",Job vs. gender,1 agree / 2 disagree / 3 neither,http://zacat.gesis.org/webview/
EVS,d019,Do you think that a woman has to have children in order to be fulfilled or is this not necessary?,women have to have children,0 Not necessary / 1 needs children,http://zacat.gesis.org/webview/
EVS,d020,A man has to have children in order to be fulfilled,women have to have children,1 Agree strongly / 5 disagree strongly,http://zacat.gesis.org/webview/
EVS,d023,"If a woman wants to have a child as a single parent, but she doesn't want to have a stable relationship with a man, do you approve or disapprove?",Approval of single mom,0 Disapprove / 1 Approve / 2 Depends,http://zacat.gesis.org/webview/
EVS,d056,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work.,Approval of working mom,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,d057,Being a housewife is just as fulfilling as working for pay,Respect of housewives,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,d058,Both the husband and wife should contribute to household income,Have to share pants,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,d059,"On the whole, men make better political leaders than women do","Politics, for men!",1 agree strongly / 4  strongly disagree,http://zacat.gesis.org/webview/
EVS,d060,A university education is more important for a boy than for a girl,education vs. gender,1 agree strongly / 4  strongly disagree,http://zacat.gesis.org/webview/
EVS,d061,A pre-school child is likely to suffer if his or her mother works,Approval of working mom,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,d062,A job is alright but what most women really want is a home and children,Women's job is for family,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,d063,Having a job is the best way for a woman to be an independent person,Independence for women: job,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,d064,"In general, fathers are as well suited to look after their children as mothers",Women vs. men: the domestic care,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,d064_01,Men should take as much responsibility as women for the home and children,Women vs. men: the domestic care,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,d065,Men are less able to handle emotions in relationships than women,Women vs. men,1 agree strongly / 4 disagree strongly,http://zacat.gesis.org/webview/
EVS,e108,"For each of the following movements, which I read out, can you tell me whether you approve or disapprove of this movement? Women's movement",Approval of women's movement,1 approve strongly / 4 disapprove strongly,http://zacat.gesis.org/webview/
EB,MVANW,"There are a number of groups and movements seeking the support of the public. For each of the movements, can you tell me whether you approve (strongly or somewhat) or disapprove (somewhat or strongly)? The women's movement",Approval of women's movement,1 approve strongly / 4 disapprove strongly,http://www.icpsr.umich.edu/icpsrweb/ICPSR/series/26/studies/4357?sortBy=7&permit%5B0%5D=AVAILABLE&archive=ICPSR
LB,A118F,"To what extent do the following freedoms, rights, life-chances and guarantees apply in (country)? Equality of men and women                            (2009 LB:  p15st_f)",Equality,1 Completely guaranteed / 4 Not guaranteed at all,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A503101C,"Which of the following organizations do you take part in, or don’t you take part in any of them? Mothers’ centers (1996 LB: P56C)",Participation to women's group,0 no / 3 yes (dummy),http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A505221A,"Employment discrimination by sex: Would you say that in equal conditions of grades, or titles a person is more likely, the same probability, or less likely that would be promoted or accepted in a job?. A woman compared to a man. (2008 LB: p89n_a)",Job vs. gender,1 More / 2 The same / 3 Less,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A505226,"Conflict between men and women: In all countries there are differences or even conflicts between different social groups. In your opinion, how much conflict is there between...?. Men and women (2007 LB: p90nf / 2008 LB: p69st_f / 2009 LB: p34stm_e)",Women vs. men: conflict,1 very strong / 2 strong / 3 weak / 4 It doesn't exist conflict,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A505302,It is preferable that a woman concentrates on the home and a man on his work                                                                                                                       (1997 LB: nps67b / 2000LB: p69st  / 2004 LB: p57st_a / 2009 LB: p67st_c),Women's job is for family,1 Strongly agree / 4 Strongly disagree,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A505303,Men are better political leaders than women. (2004 LB: p57wvs_b / 2009 LB: p67wvs_d),"Politics, for men!",1 Strongly agree / 4 Strongly disagree,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A505304,"If the woman earns more than the man, she will almost certainly have problems. (2004 LB: p57n_c / 2009 LB: p67st_e)",Have to share pants,1 Strongly agree / 4 Strongly disagree,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A505305,Housework and childcare should be the responsibility of the mother or the father or be shared equally by both? (2006 LB: p88n),Women vs. men: the domestic care,1 Mother / 2 Father / 3 Both,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A505306,Whisper flattering or offensive: How do you consider the following things that can happen to a woman from a person who is not her partner?.  Compliment in the ear (2007 LB: p70n_a),Offensive behavior to women,1 Flattery / 2 Offensive,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A505307,How do you consider the following things that can happen to a woman from a person who is not her partner? Being rubbed against  on purpose. (2007 LB: p70n_b),Offensive behavior to women,1 Flattery / 2 Offensive,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,A80210B,"Respecting their rights: A woman / And thinking of how things function in this country, would you say that in practice, the following types of people have their rights respected always, almost always, almost never, or never. A women (2002 LB: p24ub)",equality,1 always / 4 never,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B10517,"Age at which women should retire: In your opinion, what is the ideal  age for a woman to retire permanently? (2007 LB: p74na)",Job vs. gender,18 to 100 / 0 DK/NA,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B10518,"Age at which men should retire: In your opinion, what is the ideal age for a man to retire permanently? (2007 LB: p74nb)",Job vs. gender,18 to 100 / 0 DK/NA,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11401A,"From the following options, choose the main reasons why you think there are not enough women in public charges, or do you think there are women in public charges. Women are not prepared (2006 LB: p87n_1)","Politics, for men!",1 mentioned / 0 not mentioned,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11401B,Why there are not enough women in public charges: Women have no time for politic (2006 LB: p87n_2),"Politics, for men!",1 mentioned / 0 not mentioned,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11401C,Why there are not enough women in public charges: Political system discriminates women (2006 LB: p87n_3),"Politics, for men!",1 mentioned / 0 not mentioned,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11401D,Why there are not enough women in public charges: Men do not leave place (2006 LB: p87n_4),"Politics, for men!",1 mentioned / 0 not mentioned,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11401E,Why there are not enough women in public charges: That is not their place (2006 LB: p87n_5),"Politics, for men!",1 mentioned / 0 not mentioned,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11401F,Why there are not enough women in public charges: There are women in public positions (2006 LB: p87n_6),"Politics, for men!",1 mentioned / 0 not mentioned,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11402,"Same opportunity for women and men: To find a good job / In this country, do you think that women are given as much opportunity as men to: Find a good job? (1995 LB: p66a / 1996 LB: p69a / 1997 LB: sp69a / 2000 LB: p70st_a)",Female equal opportunities,1 yes / 2 no,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11403,"Same opportunity for women and men: To earn the same salary / In this country, do you think that women are given as much opportunity as men to: Earn the same salary? (1995 LB: p66b / 1996 LB: p69b / 1997 LB: sp69b / 2000 LB: p70st_b/ 2005 LB: p69st / 2006 LB: p77st_b)",Female equal opportunities,1 yes / 2 no,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11404,"Same opportunity for women and men: To receive a good education / In this country, do you think that women are given as much opportunity as men to: Receive a good education? (1995 LB: p66c / 1996 LB: p69c / 1997 LB: sp69c / 2000 LB: p70st_c)",Female equal opportunities,1 yes / 2 no,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11405,"Who gets better quality education: boys or girls / Who do you think receives a better quality education? Boys, girls, or do you think there are no differences? (2006 LB: p69n)",education vs. gender,1 Boys / 2 Girls / 3 No differences ,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11406,"Same opportunity for women and men: To achieve public posts / In this country, do you think that women are given as much opportunity as men to: Hold public posts. (1997 LB: sp69d / 2000 LB: p70st_d / 2006 LB: p77st_a)",Female equal opportunities,1 yes / 2 no,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11407,"How often have felt discriminated (Woman) / We would like to ask you a question about your experience as woman. How often, if at all, have you felt discriminated against, in public life because you are woman? Have you felt discriminated? (2002 LB: p27no2a)",Gender discrimination,1 everyday / 2 everyweek / 3 once a month / 4 a few times a year / 5 hardly ever / 6 never,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11408,"How often have felt discriminated (Man) / We would like to ask you a question about your experience as man. How often, if at all, have you felt discriminated against, in public life because you are man? Have you felt discriminated? (2002 LB: p27no2b)",Gender discrimination,1 everyday / 2 everyweek / 3 once a month / 4 a few times a year / 5 hardly ever / 6 never,http://www.latinobarometro.org/latino/LATDocumentos.jsp
LB,B11409,Policies to allow family responsibilities to be compatible with work: Do you think the state should have policies to allow family responsibilities to be compatible with work? (2006 LB: p89n),Government: women policy,1 Only for men / 2 Only for woman / 3 Both / 4 No politics needed,http://www.latinobarometro.org/latino/LATDocumentos.jsp
AmB,cp20,"am going to read a list of groups and organizations. Please tell me if you attend their meetings at least once a week, once or twice a month, once or twice a year, or never. [women only] Associations or groups of women or home makers. Do you attend them?",Participation to women's group,1 Once a week / 4 never,http://www.vanderbilt.edu/lapop/survey-data.php
AmB,vb50,"Some say that in general, men are better political leaders than women. Do you strongly agree, agree, disagree or strongly disagree?","Politics, for men!",1 Strongly agree / 4 Strongly disagree,http://www.vanderbilt.edu/lapop/survey-data.php
AmB,vb51,"Who do you think would be more corrupt as a politician, a man or a woman, or are both the same?",Women vs. men,1 A man / 2 A woman / 3 Both are the same,http://www.vanderbilt.edu/lapop/survey-data.php
AmB,vb52,"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?","Politics, for men!",1 A man / 2 A woman / 3 Both are the same,http://www.vanderbilt.edu/lapop/survey-data.php
AmB,gen6,ballot quotas for women,"Politics, for men!",1 firmly disagrees / 7 firmly agrees,http://www.vanderbilt.edu/lapop/survey-data.php
AmB,dis12,Have you felt discriminated against because of your gender or sex,Gender discrimination,1 Many times / 2 Sometimes / 3 A few times / 4 Never,http://www.vanderbilt.edu/lapop/survey-data.php
AmB,rac1e,"Now thinking about what could have happened to another person, have you experienced or witnessed situtations in which another person has been discriminated against, badly or unjustly treated? Have you seen another person being discriminated against because of his/her gender or sex?",Gender discrimination,1 Many times / 2 Sometimes / 3 A few times / 4 Never,http://www.vanderbilt.edu/lapop/survey-data.php
ISSP_1985,v34,"Would you say that opportunities for university education <USA: college education> are, in general, better or worse, for women or for men?",education vs. gender,1 much better for women / 5 much worse for women,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1490
ISSP_1985,v35,"How about job opportunities for women--do you think they are, in general, better or worse than job opportunities for men with similar education and experience?",Female equal opportunities,1 much better for women / 5 much worse for women,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1490
ISSP_1985,v36,"And how about income and wages: compared with men who have simialr education and jobs--are women, in general, paid better or worse than men?",Equality,1 Women are paid much better                                                         / 5 Women are paid much worse,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1490
ISSP_1985,v37,The government should increase opportunities for women in business and industry,Government: women policy,1 Strongly in favour of / 5 Strongly against,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1490
ISSP_1985,v38,The government should increase opportunities for women to go to university <USA: college>.,Government: women policy,1 Strongly in favour of / 5 Strongly against,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1490
ISSP_1985,v39,Women should be given preferential treatment when applying for jobs or promotions,Special treatment               for women,1 Strongly in favour of / 5 Strongly against,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1490
ISSP_1987,v15,"To begin, we have some questions about opportunities for getting ahead. Please..show how important you think it is for getting ahead in life. Being born a man or a woman--how important is that?",Getting ahead: gender matters,1 Essential / 2 very important / 3 fairly important / 4 not very important / 5 not important at all,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1680
ISSP_1988,v4,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v5,A pre-school child is likely to suffer if his or her mother works,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v6,"All in all, family life suffers when the woman has a full-time job",Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v7,A woman and her family will all be happier if she goes out to work,Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v8,A job is all right but what most women really want is a home and children,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v9 ,Being a housewife is just as fulfilling as working for pay,Respect of housewives,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v10,Having a job is the best way for a woman to be an independent person,Independence for women: job,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v11,Both the husband and wife should contribute to household income,Have to share pants,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v12,A husband's job is to earn mony; a wife's job is to look after the home and family,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v14,"Do you think that women should work outside the home full-time, part-time or not at all under these circumstances: After marrying and before there are children.",Approval of female working ,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v15,Women should work outside: when there is a child under school age. ,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v16,Women should work outside: after the youngest child starts school.,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v17,women should work outside: after the children leave home.,Approval of working mom,1 work full-time / 2 work part-time / 3 stay home,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v25,"If you were advising a young woman, which of the following ways of life would you recommend? ",Women vs. men: marriage,"1 To live alone, without a steady partner  / 2 To live with a steady partner, without marrying / 3 To live with a steady partner for a while, and then marry / 4 To marry without living together first / 5 H: Other",http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v26,"If you were advising a young man, which of the following ways of life would you recommend? ",Women vs. men: marriage,"1 To live alone, without a steady partner  / 2 To live with a steady partner, without marrying / 3 To live with a steady partner for a while, and then marry / 4 To marry without living together first / 5 H: Other",http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v33,A single mother can bring up her child as well as a married couple,Approval of single mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v34,A single father can bring up her child as well as a married couple,Approval of single mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v53,"And when a marriage is troubled and unhappy, is it generally better for the wife if the couple stays together or get divorced?",Women vs. men: marriage,1 Much better to divorce / 2 Better to divorce / 3 IRL: Neither better nor worse / 4 Worse to divorce / 5 Much worse to divorce,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1988,v54,"And when a marriage is troubled and unhappy, is it generally better for the husband if the couple stays together or get divorced?",Women vs. men: marriage,1 Much better to divorce / 2 Better to divorce / 3 IRL: Neither better nor worse / 4 Worse to divorce / 5 Much worse to divorce,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1700
ISSP_1989,v19,"In deciding on pay for two people doing the same kind of work, how important should be… the sex of the employee?",Job vs. gender,0 Item not chosen / 1 Should be most important / 2 Should be next most important / 3 Should be third most important,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1840
ISSP_1989,v56,"At your workplace, in deciding on pay for two people doing the same kind of work, how important is the sex of the employee?",Job vs. gender,0 Item not chosen / 1 Should be most important / 2 Should be next most important / 3 Should be third most important,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA1840
ISSP_1991,v16,A husband's job is to earn mony; a wife's job is to look after the home and family,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2150
ISSP_1991,v17,"Agree or disagree: All in all, family life suffers when the woman has a full-time job",Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2150
ISSP_1992,v15,"To begin, we have some questions about opportunities for getting ahead. Please..show how important you think it is for getting ahead in life. Being born a man or a woman--how important is that?",Getting ahead: gender matters,1 Essential / 2 very important / 3 fairly important / 4 not very important / 5 not important at all,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2310
ISSP_1994,v4,A working mother can establish just as warm and secure a relationship with her children as a mother who does not work,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v5,A pre-school child is likely to suffer if his or her mother works,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v6,"All in all, family life suffers when the woman has a full-time job",Approval of female working ,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v7,A job is all right but what most women really want is a home and children,Women's job is for family,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
ISSP_1994,v8,Being a housewife is just as fulfilling as working for pay,Respect of housewives,1 Strongly agree / 5 Strongly disagree,http://zacat.gesis.org/webview/index.jsp?object=http://zacat.gesis.org/obj/fStudy/ZA2620
